"tag","co-occur","non-occur","groups_with_tag","non_big_cooccur","groups_without_tag","non_big_no_occur","Chi-Square-P-value","IsBigData","relevance"
"marketo",6,5409,12,6,197317,191908,6.41e-20,1,0.5
"udacity",5,5410,9,4,197320,191910,4.02e-18,1,0.555555555555556
"increase-revenue",3,5412,3,0,197326,191914,1.29e-17,1,1
"business-trends-opportunites-in-china",4,5411,6,2,197323,191912,7.74e-17,1,0.666666666666667
"networking-with-us-china-business-professionals",4,5411,6,2,197323,191912,7.74e-17,1,0.666666666666667
"sap-business-intelligence",4,5411,8,4,197321,191910,1.25e-12,1,0.5
"informatica",2,5413,2,0,197327,191914,3.97e-10,1,1
"fundraising-professionals",2,5413,2,0,197327,191914,3.97e-10,1,1
"prospect-research",2,5413,2,0,197327,191914,3.97e-10,1,1
"research-for-fundraising",2,5413,2,0,197327,191914,3.97e-10,1,1
"strategic-planning-for-fundraising",2,5413,2,0,197327,191914,3.97e-10,1,1
"knime",2,5413,2,0,197327,191914,3.97e-10,1,1
"deep-reinforcement-learning",2,5413,2,0,197327,191914,3.97e-10,1,1
"machine-data",2,5413,2,0,197327,191914,3.97e-10,1,1
"cloud-to-cloud-itegration",2,5413,2,0,197327,191914,3.97e-10,1,1
"computers-and-software",2,5413,2,0,197327,191914,3.97e-10,1,1
"supervised-learning",2,5413,2,0,197327,191914,3.97e-10,1,1
"sql-azure",2,5413,3,1,197326,191913,5.44e-07,1,0.666666666666667
"local-news",1,5414,1,0,197328,191914,0.003820135,1,1
"journal-club",1,5414,1,0,197328,191914,0.003820135,1,1
"data-art",1,5414,1,0,197328,191914,0.003820135,1,1
"statistical-science",1,5414,1,0,197328,191914,0.003820135,1,1
"early-stage-investing",1,5414,1,0,197328,191914,0.003820135,1,1
